measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - INPUT,281349,2021-11-25 12:55:36,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,23555,Change Location for  Space Cake Trials 07/06/21,1051,Change Location,2021-11-25 12:55:36,2021-11-25 12:55:36,819,Dried Cannabis,2632,g,,,,,,,
WO - INPUT,281357,2021-11-25 12:58:25,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,23558,30g Sample Shipped to Pura for Cannabinoids/Terpenes,704,Sample Shipment,2021-11-25 12:58:05,2021-11-25 12:58:30,819,Dried Cannabis,30,g,,,,,,,
WO - INPUT,281360,2021-11-25 12:59:46,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,23559,50g Sample sent to Pura for Cannabinoids/Terpenes,704,Sample Shipment,2021-11-25 12:59:31,2021-11-25 13:00:01,819,Dried Cannabis,50,g,,,,,,,
WO - INPUT,281364,2021-11-25 13:02:49,15531,Soul Magic Trials 06/30/21,7863,NN3,,,23561,30g Sample Shipped to Pura for Cannabinoids/Terpenes (SM),704,Sample Shipment,2021-11-25 13:02:29,2021-11-25 13:02:53,819,Dried Cannabis,30,g,,,,,,,
WO - INPUT,281372,2021-11-25 13:04:01,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,23563,40g Sample sent to Pura for Cannabinoids and Terpenes (NN4 BDL),704,Sample Shipment,2021-11-25 13:03:47,2021-11-25 13:04:06,819,Dried Cannabis,40,g,,,,,,,
WO - INPUT,68399,2021-03-17 14:01:05,7246,Blue Lime Pi 2,4493,Blue Lime PI,1356,202 - Post-harvest processing,4672,010820 BLP Drying #1,446,Drying,2021-03-18 14:00:08,2021-04-13 9:53:02,762,Fresh Cannabis,302000,g,,,,,,,
WO - INPUT,130918,2021-06-28 9:35:25,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,9494,BLP5 - 03/09/21  Drying #1,446,Drying,2021-06-28 9:34:55,2021-07-15 9:39:40,762,Fresh Cannabis,642300,g,,,,,,,
WO - INPUT,117245,2021-06-24 12:33:10,7246,Blue Lime Pi 2,4493,Blue Lime PI,1357,203 - Secure storage,7733,Sale of Cannabis - Sitka Weedwork's June 24th,557,Sale of Cannabis,2021-06-24 10:02:51,2021-06-24 12:34:18,819,Dried Cannabis,52000,g,,,,,,,
WO - INPUT,156015,2021-08-18 7:54:42,7246,Blue Lime Pi 2,4493,Blue Lime PI,1357,203 - Secure storage,12298,Blue Lime Pi 2 Retention Sample,776,Internal Retention Sample,2021-08-18 7:54:17,2021-08-19 7:55:34,819,Dried Cannabis,200,g,,,,,,,
WO - INPUT,291636,2021-12-06 14:42:17,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,24476,10g To Pura for Cannabinoids and Moisture Retest,704,Sample Shipment,2021-12-06 11:42:04,2021-12-07 8:42:47,819,Dried Cannabis,10,g,,,,,,,
