performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-01-08 17:37:34,2021-01-08 17:37:34,Additions - Growth Stage,7246,Blue Lime Pi 2,4493,Blue Lime PI,662,Flowering,2459,Jan 8/21 BLP,334,Plant Import,2021-01-20T17:33:15.475Z,2021-01-20T17:41:36.758Z,176
2021-01-08 17:37:34,2021-01-08 17:37:34,Additions - Plant Batch,7246,Blue Lime Pi 2,4493,Blue Lime PI,662,Flowering,2459,Jan 8/21 BLP,334,Plant Import,2021-01-20T17:33:15.475Z,2021-01-20T17:41:36.758Z,176
2021-03-17 20:48:40,2021-03-30 20:48:43,Reductions - Growth Stage,7246,Blue Lime Pi 2,4493,Blue Lime PI,662,Flowering,4236,010820 BLP Harvest #1,430,Harvest,2021-03-17T20:47:49.000Z,2021-03-17T20:49:25.000Z,-176
2021-03-17 20:48:40,2021-03-17 20:48:40,Additions - Growth Stage,7246,Blue Lime Pi 2,4493,Blue Lime PI,570,Harvested,,,,,,,176
2021-04-01 20:27:35,2021-04-01 20:27:35,Additions - Growth Stage,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,569,Vegetative,4457,Plant Material Receival,334,Plant Import,2021-04-01T20:27:12.000Z,2021-04-01T20:28:10.000Z,840
2021-04-01 20:27:35,2021-04-01 20:27:35,Additions - Plant Batch,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,569,Vegetative,4457,Plant Material Receival,334,Plant Import,2021-04-01T20:27:12.000Z,2021-04-01T20:28:10.000Z,840
2021-05-05 14:42:45,2021-05-06 14:43:14,Reductions - Growth Stage,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,569,Vegetative,,,,,,,-840
2021-05-05 14:42:45,2021-05-05 14:42:45,Additions - Growth Stage,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,662,Flowering,,,,,,,840
2021-06-28 17:24:00,2021-07-02 17:24:03,Reductions - Growth Stage,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,662,Flowering,7892,BLP5 - 03/09/21 Harvest #1,430,Harvest,2021-06-28T17:23:23.000Z,2021-07-02T17:28:20.578Z,-837
2021-06-28 17:24:00,2021-06-28 17:24:00,Additions - Growth Stage,9697,BLP5 - 03/09/21 ,4494,Blue Lime Pi,570,Harvested,,,,,,,837
2021-08-13 19:35:41,2021-08-13 19:35:41,Additions - Growth Stage,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,569,Vegetative,11904,Recieved 342 Blue Lime Pi 9 from Next Wave 08/13/21,334,Plant Import,2021-08-13T19:35:17.000Z,2021-08-13T19:37:08.000Z,342
2021-08-13 19:35:41,2021-08-13 19:35:41,Additions - Plant Batch,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,569,Vegetative,11904,Recieved 342 Blue Lime Pi 9 from Next Wave 08/13/21,334,Plant Import,2021-08-13T19:35:17.000Z,2021-08-13T19:37:08.000Z,342
2021-08-13 19:48:39,2021-08-13 19:48:39,Additions - Growth Stage,15534,Space Cake Trials 07/06/21,7869,Space Cake,569,Vegetative,11917,Recieved 20 Space Cake Clones from Nextwave on 08/13/21,334,Plant Import,2021-08-13T19:47:34.000Z,2021-08-13T19:51:40.000Z,20
2021-08-13 19:48:39,2021-08-13 19:48:39,Additions - Plant Batch,15534,Space Cake Trials 07/06/21,7869,Space Cake,569,Vegetative,11917,Recieved 20 Space Cake Clones from Nextwave on 08/13/21,334,Plant Import,2021-08-13T19:47:34.000Z,2021-08-13T19:51:40.000Z,20
2021-08-13 19:59:26,2021-08-13 19:59:26,Additions - Growth Stage,15533,Shaq Fu Trial 06/30/21,7861,NN1,569,Vegetative,11922,Recieved 10 NN1 (Shaq-Fu) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T19:59:11.000Z,2021-08-13T19:59:43.000Z,10
2021-08-13 19:59:26,2021-08-13 19:59:26,Additions - Plant Batch,15533,Shaq Fu Trial 06/30/21,7861,NN1,569,Vegetative,11922,Recieved 10 NN1 (Shaq-Fu) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T19:59:11.000Z,2021-08-13T19:59:43.000Z,10
